import time: self [us] | cumulative | imported package
import time:      4394 |       9084 |       structlog.contextvars
import time:      2610 |       2610 |         structlog._frames
import time:      2921 |       2921 |           structlog._log_levels
import time:      2811 |       2811 |           structlog._utils
import time:      8857 |       8857 |               rich._extension
import time:      6564 |      15421 |             rich
import time:       741 |        741 |               array
import time:      9396 |       9396 |               rich.repr
import time:      3997 |       3997 |                   attr._compat
import time:      6544 |       6544 |                     unicodedata
import time:      5297 |       5297 |                     attr._config
import time:      4178 |       4178 |                       attr.exceptions
import time:      3572 |       7750 |                     attr.setters
import time:     37401 |      56992 |                   attr._make
import time:      6371 |      67358 |                 attr.converters
import time:      8204 |       8204 |                 attr.filters
import time:     41765 |      41765 |                 attr.validators
import time:      7336 |       7336 |                 attr._cmp
import time:      4567 |       4567 |                 attr._funcs
import time:      3911 |       3911 |                 attr._next_gen
import time:      8332 |       8332 |                 attr._version_info
import time:      7793 |     149264 |               attr
import time:      4254 |       4254 |               rich._loop
import time:      4011 |       4011 |               rich._pick
import time:      7047 |       7047 |               rich.abc
import time:      3527 |       3527 |                 rich._cell_widths
import time:      4897 |       8423 |               rich.cells
import time:      3900 |       3900 |                   rich._wrap
import time:      6216 |       6216 |                             rich.errors
import time:      6174 |       6174 |                                   rich.color_triplet
import time:     13957 |      20131 |                                 rich.palette
import time:      4230 |      24360 |                               rich._palettes
import time:      6887 |       6887 |                               rich.terminal_theme
import time:     16027 |      47273 |                             rich.color
import time:      8338 |      61827 |                           rich.style
import time:     16598 |      78424 |                         rich.segment
import time:      4310 |      82734 |                       rich.jupyter
import time:      4838 |       4838 |                         rich.protocol
import time:      7173 |      12010 |                       rich.measure
import time:      3747 |      98490 |                     rich.constrain
import time:      7743 |     106232 |                   rich.align
import time:      6210 |       6210 |                   rich.containers
import time:      5273 |       5273 |                   rich.control
import time:     24278 |      24278 |                     rich._emoji_codes
import time:      8843 |       8843 |                     rich._emoji_replace
import time:      7311 |      40430 |                   rich.emoji
import time:     11715 |     173757 |                 rich.text
import time:      8871 |     182628 |               rich.highlighter
import time:     24514 |     390273 |             rich.pretty
import time:     21967 |     427659 |           structlog.tracebacks
import time:      8543 |     441933 |         structlog.processors
import time:      4016 |       4016 |               colorama.ansi
import time:     10469 |      10469 |                     _ctypes
import time:      2420 |       2420 |                     ctypes._endian
import time:      7733 |      20622 |                   ctypes
import time:      5324 |       5324 |                   ctypes.wintypes
import time:      5145 |      31090 |                 colorama.win32
import time:      6629 |      37719 |               colorama.winterm
import time:      4982 |      46716 |             colorama.ansitowin32
import time:      3432 |      50148 |           colorama.initialise
import time:      6305 |      56453 |         colorama
import time:      2497 |       2497 |         better_exceptions
import time:      4480 |       4480 |             termios
import time:      2158 |       6637 |           getpass
import time:      3093 |       3093 |           rich._null_file
import time:      5308 |       5308 |             rich.default_styles
import time:     10138 |      10138 |               configparser
import time:      5518 |      15656 |             rich.theme
import time:      2006 |      22970 |           rich.themes
import time:      3460 |       3460 |           rich._export_format
import time:      4360 |       4360 |           rich._fileno
import time:      3783 |       3783 |           rich._log_render
import time:      6261 |       6261 |           rich.markup
import time:      7563 |       7563 |           rich.pager
import time:      4581 |       4581 |           rich.region
import time:      4958 |       4958 |               rich.box
import time:      4813 |       4813 |               rich.padding
import time:      6858 |      16628 |             rich.panel
import time:      4674 |       4674 |               rich._ratio
import time:     20990 |      25663 |             rich.table
import time:      3989 |      46279 |           rich.scope
import time:      3559 |       3559 |           rich.screen
import time:      2388 |       2388 |           rich.styled
import time:     24128 |     139059 |         rich.console
import time:      3986 |       3986 |             pygments
import time:     11487 |      11487 |             pygments.lexers._mapping
import time:      3846 |       3846 |             pygments.modeline
import time:      2864 |       2864 |             pygments.plugin
import time:      6393 |       6393 |             pygments.util
import time:      5658 |      34231 |           pygments.lexers
import time:      4408 |       4408 |           pygments.token
import time:      3552 |       3552 |           rich.columns
import time:      4776 |       4776 |               pygments.filter
import time:      4934 |       4934 |               pygments.filters
import time:      3078 |       3078 |               pygments.regexopt
import time:      4594 |      17380 |             pygments.lexer
import time:      4811 |       4811 |             pygments.style
import time:      3621 |       3621 |               pygments.styles._mapping
import time:      3339 |       6960 |             pygments.styles
import time:      6728 |      35877 |           rich.syntax
import time:     15982 |      94049 |         rich.traceback
import time:     10720 |     747317 |       structlog.dev
import time:      2386 |       2386 |               structlog.exceptions
import time:      2369 |       4755 |             structlog._base
import time:      4035 |       8790 |           structlog._native
import time:      5649 |       5649 |           structlog._output
import time:      3525 |      17963 |         structlog._config
import time:      9010 |      26973 |       structlog.stdlib
import time:      5050 |       5050 |       structlog.testing
import time:      4771 |       4771 |         structlog._greenlets
import time:      4053 |       8823 |       structlog.threadlocal
import time:      2265 |       2265 |       structlog.types
import time:      2662 |       2662 |       structlog._generic
import time:      1182 |       1182 |           twisted
import time:       153 |       1334 |         twisted.python
import time:      2538 |       3871 |       structlog.twisted
import time:      6042 |     812084 |     structlog
import time:      6546 |     823233 |   packages.observability.structured_logger
import time:      4041 |       4041 |           pydantic.v1.typing
import time:     13398 |      17439 |         pydantic.v1.errors
import time:      4371 |       4371 |             cython
import time:      2770 |       7141 |           pydantic.v1.version
import time:      7301 |      14442 |         pydantic.v1.utils
import time:      9197 |      41077 |       pydantic.v1.class_validators
import time:      8458 |       8458 |       pydantic.v1.config
import time:      4399 |       4399 |           pydantic.v1.color
import time:      8284 |       8284 |               pydantic.v1.datetime_parse
import time:      5558 |      13841 |             pydantic.v1.validators
import time:     10864 |      24704 |           pydantic.v1.networks
import time:      9855 |       9855 |           pydantic.v1.types
import time:      3630 |      42587 |         pydantic.v1.json
import time:      7354 |      49940 |       pydantic.v1.error_wrappers
import time:      6013 |       6013 |       pydantic.v1.fields
import time:      2581 |       2581 |         pydantic.v1.parse
import time:      6737 |       6737 |         pydantic.v1.schema
import time:      9339 |      18655 |       pydantic.v1.main
import time:      9236 |     133378 |     pydantic.v1.dataclasses
import time:      4393 |       4393 |     pydantic.v1.annotated_types
import time:      3569 |       3569 |     pydantic.v1.decorator
import time:      5635 |       5635 |     pydantic.v1.env_settings
import time:      2854 |       2854 |     pydantic.v1.tools
import time:      6211 |     156037 |   pydantic.v1
import time:      2066 |       2066 |       packages.auth
import time:      7273 |       9339 |     packages.auth.rbac
import time:      4431 |      13769 |   apps.api_server.dependencies
import time:      2117 |       2117 |   packages.auth.auth_service
import time:      2742 |       2742 |   packages.auth.sso
import time:      4630 |       4630 |       packages.db.repositories.approval_repo
import time:      2878 |       2878 |       packages.db.repositories.audit_repo
import time:     10845 |      10845 |           bcrypt._bcrypt
import time:      3115 |      13959 |         bcrypt
import time:      2476 |      16434 |       packages.db.repositories.auth_repo
import time:      3230 |       3230 |       packages.db.repositories.conversation_repo
import time:      2255 |       2255 |       packages.db.repositories.edition_repo
import time:      2050 |       2050 |       packages.db.repositories.memory_repo
import time:      2362 |       2362 |       packages.db.repositories.messaging_repo
import time:      6541 |       6541 |       packages.db.repositories.notification_repo
import time:      3585 |       3585 |       packages.db.repositories.rbac_repo
import time:      3654 |       3654 |       packages.db.repositories.skill_repo
import time:      5060 |       5060 |       packages.db.repositories.task_dependency_repo
import time:      3635 |       3635 |       packages.db.repositories.task_repo
import time:      2623 |       2623 |       packages.db.repositories.template_repo
import time:      2845 |      61775 |     packages.db.repositories
import time:        87 |      61861 |   packages.db.repositories.audit_repo
import time:      9889 |       9889 |   packages.db.pagination
import time:      2460 |       2460 |     packages.approval
import time:      2623 |       2623 |     packages.db.repositories.approval_request_repo
import time:     13931 |      19014 |   packages.approval.approval_service
import time:     10354 |      10354 |   packages.auth.actor_scope
import time:    278953 |    6649135 | apps.api_server.main
