import time: self [us] | cumulative | imported package
import time:     12423 |      12423 |                     typing_extensions
import time:      3158 |      15581 |                   anyio.abc._tasks
import time:      9771 |      25351 |                 anyio.abc._streams
import time:      7796 |      35248 |               anyio.abc._sockets
import time:      2544 |       2544 |               anyio.abc._subprocesses
import time:      5792 |       5792 |               anyio.abc._testing
import time:      5873 |       5873 |                 anyio.lowlevel
import time:      5766 |       5766 |                 anyio._core._tasks
import time:      2599 |       2599 |                 anyio._core._testing
import time:     25454 |      39690 |               anyio._core._synchronization
import time:      1517 |       1517 |                   concurrent
import time:      5493 |       5493 |                   concurrent.futures._base
import time:      2403 |       9412 |                 concurrent.futures
import time:      5958 |      15370 |               anyio.from_thread
import time:      3381 |     113464 |             anyio.abc
import time:      6396 |     122259 |           anyio._core._fileio
import time:      2876 |       2876 |           anyio._core._resources
import time:      4440 |       4440 |           anyio._core._signals
import time:     21419 |      21419 |               _ssl
import time:     12781 |      34199 |             ssl
import time:      1725 |       1725 |               anyio.streams
import time:      7489 |       9213 |             anyio.streams.stapled
import time:      7223 |       7223 |             anyio.streams.tls
import time:      5479 |      56112 |           anyio._core._sockets
import time:     10717 |      10717 |             anyio.streams.memory
import time:      2066 |      12783 |           anyio._core._streams
import time:      1044 |       1044 |               fcntl
import time:       159 |        159 |               msvcrt
import time:      3153 |       4355 |             subprocess
import time:      3192 |       7546 |           anyio._core._subprocesses
import time:       281 |        281 |                 zlib
import time:      1390 |       1390 |                   _compression
import time:      2650 |       2650 |                   _bz2
import time:      2185 |       6224 |                 bz2
import time:      2744 |       2744 |                   _lzma
import time:      2040 |       4784 |                 lzma
import time:      5624 |      16912 |               shutil
import time:      4514 |      21425 |             tempfile
import time:      2923 |      24348 |           anyio._core._tempfile
import time:      3927 |     247198 |         anyio
import time:     23654 |      23654 |                       pydantic_core._pydantic_core
import time:      2296 |       2296 |                             numbers
import time:      5193 |       7489 |                           _decimal
import time:      1810 |       9299 |                         decimal
import time:     48837 |      58136 |                       pydantic_core.core_schema
import time:      4922 |      86711 |                     pydantic_core
import time:      3413 |      90124 |                   pydantic.version
import time:      2973 |      93096 |                 pydantic.warnings
import time:      2742 |      95838 |               pydantic._migration
import time:      2108 |       2108 |                   typing_inspection
import time:      7696 |       7696 |                   typing_inspection.typing_objects
import time:      4993 |      14796 |                 typing_inspection.introspection
import time:      1675 |       1675 |                 pydantic._internal
import time:      5101 |       5101 |                     pydantic._internal._namespace_utils
import time:      2816 |       7917 |                   pydantic._internal._typing_extra
import time:      2263 |      10179 |                 pydantic._internal._repr
import time:      4087 |      30735 |               pydantic.errors
import time:      3368 |     129940 |             pydantic
import time:      2422 |       2422 |                 pydantic._internal._internal_dataclass
import time:      8427 |      10849 |               pydantic.aliases
import time:      7279 |       7279 |               pydantic.config
import time:      3983 |      22110 |             pydantic._internal._config
import time:      2226 |       2226 |               pydantic._internal._core_utils
import time:      1653 |       1653 |                 pydantic._internal._import_utils
import time:      4657 |       6310 |               pydantic._internal._utils
import time:     24497 |      33032 |             pydantic._internal._decorators
import time:      4162 |       4162 |                 pydantic._internal._forward_ref
import time:      3991 |       8152 |               pydantic._internal._generics
import time:      1874 |       1874 |               pydantic._internal._docs_extraction
import time:      8061 |      18086 |             pydantic._internal._fields
import time:      3683 |       3683 |                 pydantic.plugin
import time:      2789 |       6472 |               pydantic.plugin._schema_validator
import time:      3931 |      10402 |             pydantic._internal._mock_val_ser
import time:      6522 |       6522 |                 fractions
import time:      6430 |       6430 |                     sysconfig
import time:      4306 |      10735 |                   zoneinfo._tzpath
import time:      1240 |       1240 |                   zoneinfo._common
import time:      2751 |       2751 |                   _zoneinfo
import time:      1835 |      16559 |                 zoneinfo
import time:      1733 |       1733 |                 pydantic.annotated_handlers
import time:     16145 |      16145 |                 pydantic.functional_validators
import time:      5192 |       5192 |                   pydantic._internal._core_metadata
import time:      3054 |       3054 |                   pydantic._internal._schema_generation_shared
import time:      9438 |      17683 |                 pydantic.json_schema
